source_id,latitude,longitude,nearest_refinery_km,nearest_powerplant_km,nearest_mine_km,nearest_industrial_area_km,landcover_code,landcover_class,mean_distance_to_industry_km,min_distance_to_industry_km,mean_industrial_facilities_1km,mean_industrial_facilities_5km,industrial_land_ratio,forest_land_ratio,agricultural_land_ratio,nearest_facility_type,first_detection,last_detection,total_detections,active_days,mean_frp,max_frp,observation_span_days,recurrence_rate,detections_per_span_day,mean_gap_hours,std_gap_hours,median_gap_hours,min_gap_hours,max_gap_hours,temporal_regularity,max_active_days_7d,max_active_days_14d,max_active_days_30d,observation_days,event_type,predicted_event_type,mean_brightness,max_brightness,confidence_pct
SOURCE_0015,23.68521,86.392,215.80303595908,12.250165217082,0.0,1.7621828416416,60,Bare / sparse vegetation,57.453846,0.0,1,2,1,0,0,mine,2026-08-19 00:00:00+00:00,2026-08-23 00:00:00+00:00,44,5,2.4952272727273,8.98,4,0.71428571428571,11.0,2.2325581395349,6.9711605563517,0.0,0.0,24.0,0.12545224662464,5,5,5,7,Industrial,Other,316.24,341.94,77.5
SOURCE_0016,24.92421,84.15677,219.46298515408,15.877054117477,6.035501765424,0.52389906936801,40,Cropland,60.47486003,0.523899069,1,1,0,0,1,industrial_area,2026-08-19 00:00:00+00:00,2026-08-20 00:00:00+00:00,2,2,2.13,2.59,1,0.28571428571429,2.0,24.0,0.0,24.0,24.0,24.0,0.0,2,2,2,7,Agricultural,Agricultural,315.32,322.77,90.0
SOURCE_0017,23.69281,87.12199,226.22920358914,6.4015465803096,3.8206231482002,0.0,50,Built-up,59.11284333,0.0,1,2,1,0,0,industrial_area,2026-08-19 00:00:00+00:00,2026-08-20 00:00:00+00:00,12,2,2.4875,3.81,1,0.28571428571429,12.0,2.1818181818182,6.8995148949128,0.0,0.0,24.0,0.12659005183267,2,2,2,7,Industrial,Industrial,316.22,326.43,72.0
SOURCE_0018,23.78208,86.3897,204.15118541903,9.4727252921409,0.011385980422432,1.3832652426128,50,Built-up,53.75464048,0.01138598,1,2,1,0,0,mine,2026-08-19 00:00:00+00:00,2026-08-23 00:00:00+00:00,17,5,1.9235294117647,5.67,4,0.71428571428571,4.25,6.0,10.392304845413,0.0,0.0,24.0,0.087778549957133,5,5,5,7,Industrial,Industrial,314.81,332.01,74.67
SOURCE_0019,23.68438,87.12988,224.90803703147,7.6550511920283,2.96410460052,0.52277754486977,40,Cropland,59.01249259,0.522777545,1,2,0,0,1,industrial_area,2026-08-19 00:00:00+00:00,2026-08-20 00:00:00+00:00,3,2,1.4533333333333,2.41,1,0.28571428571429,3.0,12.0,12.0,12.0,0.0,24.0,0.076923076923077,2,2,2,7,Agricultural,Agricultural,313.63,322.23,94.0
SOURCE_0020,23.76894,86.40264,205.97917344114,8.8584533430509,0.0,0.30695073701339,10,Tree cover,53.78614438,0.0,2,2,1,1,0,mine,2026-08-19 00:00:00+00:00,2026-08-23 00:00:00+00:00,52,5,2.1715384615385,5.92,4,0.71428571428571,13.0,1.8823529411765,6.4523808003775,0.0,0.0,24.0,0.13418530625131,5,5,5,7,Industrial,Forest/Natural,315.43,332.76,88.0
SOURCE_0021,23.66273,87.15408,221.30748532055,10.548418553931,1.7531762613168,1.0408175142504,80,Permanent water bodies,58.66247441,1.040817514,0,2,0,0,0,industrial_area,2026-08-19 00:00:00+00:00,2026-08-22 00:00:00+00:00,11,4,2.8254545454545,6.29,3,0.57142857142857,3.6666666666667,7.2,10.998181667894,0.0,0.0,24.0,0.083345962553301,4,4,4,7,Other,Other,317.06,333.87,78.0
SOURCE_0022,22.13304,85.38209,259.77820030911,0.0,0.88477288140178,0.0,60,Bare / sparse vegetation,65.1657433,0.0,3,3,1,0,0,powerplant,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,1,1,1.02,1.02,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,7,Industrial,Other,312.55,318.06,60.67
SOURCE_0023,22.05502,85.46635,246.94018337504,12.283645650325,3.7983182910119,3.5927165434945,10,Tree cover,66.65371596,3.592716543,0,2,0,1,0,industrial_area,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,1,1,0.59,0.59,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,7,Forest/Natural,Forest/Natural,311.48,316.77,96.0
SOURCE_0024,20.9997,86.02561,106.89302098604,2.5939993768565,13.806441473363,0.0,10,Tree cover,30.82336546,0.0,1,2,1,1,0,industrial_area,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,3,1,1.46,1.87,0,0.14285714285714,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,7,Industrial,Forest/Natural,313.65,320.61,98.0
SOURCE_0025,20.99724,86.01566,107.29847611019,2.1158220771808,12.771058097142,0.0,10,Tree cover,30.54633907,0.0,1,2,1,1,0,industrial_area,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,4,1,1.5775,2.25,0,0.14285714285714,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,7,Industrial,Forest/Natural,313.94,321.75,98.0
SOURCE_0026,20.97369,86.00464,105.77363262246,0.29388980586547,10.08119814791,0.0,50,Built-up,29.03718014,0.0,2,2,1,0,0,industrial_area,2026-08-19 00:00:00+00:00,2026-08-20 00:00:00+00:00,4,2,2.3175,2.78,1,0.28571428571429,4.0,8.0,11.313708498985,0.0,0.0,24.0,0.081210303141612,2,2,2,7,Industrial,Industrial,315.79,323.34,74.67
SOURCE_0027,20.96871,86.01344,104.70877570685,1.1253640638939,10.614861523485,0.0,50,Built-up,29.11225032,0.0,1,2,1,0,0,industrial_area,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,2,1,2.985,2.99,0,0.14285714285714,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,7,Industrial,Industrial,317.46,323.97,81.33
SOURCE_0028,20.96358,86.05087,101.75359106213,0.0,10.818163832674,0.0,50,Built-up,28.14293872,0.0,2,2,1,0,0,powerplant,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,1,1,2.26,2.26,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,7,Industrial,Industrial,315.65,321.78,82.0
SOURCE_0029,20.95314,86.04453,101.15576833884,0.0,11.591663723929,0.0,10,Tree cover,28.18685802,0.0,2,2,1,1,0,powerplant,2026-08-19 00:00:00+00:00,2026-08-20 00:00:00+00:00,8,2,2.14,4.28,1,0.28571428571429,8.0,3.4285714285714,8.3982505466852,0.0,0.0,24.0,0.10640278156371,2,2,2,7,Industrial,Industrial,315.35,327.84,77.14
SOURCE_0030,21.07996,85.03458,197.42808167547,3.599278472626,0.0,3.599278472626,60,Bare / sparse vegetation,51.15665966,0.0,1,3,1,0,0,mine,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,1,1,2.71,2.71,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,7,Industrial,Other,316.77,323.13,77.71
SOURCE_0031,21.07927,85.03988,196.87368849575,3.1061046996612,0.0,3.1061046996612,60,Bare / sparse vegetation,50.77147447,0.0,1,3,1,0,0,mine,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,1,1,2.71,2.71,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,7,Industrial,Other,316.77,323.13,77.71
SOURCE_0032,21.07858,85.04521,196.316631001,2.6526468808446,0.0,2.6526468808446,10,Tree cover,50.40548119,0.0,1,3,1,1,0,mine,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,2,1,1.56,1.56,0,0.14285714285714,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,7,Industrial,Forest/Natural,313.9,319.68,95.33
SOURCE_0033,20.98905,85.12326,183.56472012184,11.767651692741,0.96439535759159,5.7498472077595,40,Cropland,50.51165359,0.964395358,1,1,0,0,1,mine,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,1,1,1.05,1.05,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,7,Agricultural,Agricultural,312.62,318.15,95.33
SOURCE_0034,20.97853,85.16805,178.57639068141,8.5350820865654,0.0,4.4122690468243,30,Grassland,47.88093545,0.0,1,2,1,0,0,mine,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,2,1,1.915,2.25,0,0.14285714285714,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,7,Industrial,Forest/Natural,314.79,321.75,94.0
SOURCE_0035,20.97784,85.17326,178.02696447496,8.1672226223384,0.037123014623495,4.4635167000885,10,Tree cover,47.6737067,0.037123015,1,2,1,1,0,mine,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,2,1,2.285,2.69,0,0.14285714285714,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,7,Industrial,Forest/Natural,315.71,323.07,96.0
SOURCE_0036,20.97878,85.13621,181.71792065647,10.860836028089,0.0,4.1616373276391,60,Bare / sparse vegetation,49.1850985,0.0,1,2,1,0,0,mine,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,3,1,3.9566666666667,5.2,0,0.14285714285714,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,7,Industrial,Other,319.89,330.6,78.96
SOURCE_0037,20.96938,85.17738,177.14511478548,7.0637375175683,0.0,3.6623622514511,60,Bare / sparse vegetation,46.96780364,0.0,1,2,1,0,0,mine,2026-08-19 00:00:00+00:00,2026-08-20 00:00:00+00:00,18,2,3.73,8.27,1,0.28571428571429,18.0,1.4117647058824,5.6470588235294,0.0,0.0,24.0,0.15044247787611,2,2,2,7,Industrial,Other,319.32,339.81,78.73
SOURCE_0038,20.96414,85.18718,175.88849829363,6.0106783717727,0.0,2.4384372772246,80,Permanent water bodies,46.08440349,0.0,1,2,1,0,0,mine,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,6,1,4.1,4.95,0,0.14285714285714,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,7,Industrial,Other,320.25,329.85,69.33
SOURCE_0039,20.89102,84.9829,192.7036288064,0.67411507633118,7.7373722883611,0.28106637145174,50,Built-up,50.34904564,0.281066371,2,2,1,0,0,industrial_area,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,7,1,3.7285714285714,7.56,0,0.14285714285714,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,7,Industrial,Industrial,319.32,337.68,96.67
SOURCE_0040,20.86612,84.99014,190.83132722542,2.6565451435663,8.792787228843,0.0,60,Bare / sparse vegetation,50.5701649,0.0,1,2,1,0,0,industrial_area,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,2,1,3.04,3.47,0,0.14285714285714,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,7,Industrial,Other,317.6,325.41,78.04
SOURCE_0041,20.86544,84.99534,190.26421386989,2.7620106921136,8.2169619763462,0.0,50,Built-up,50.31079663,0.0,1,2,1,0,0,industrial_area,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,3,1,2.8966666666667,3.47,0,0.14285714285714,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,7,Industrial,Industrial,317.24,325.41,80.0
SOURCE_0042,20.79929,85.26081,159.95684376066,0.78954403300956,19.477045580138,0.0,50,Built-up,45.05585834,0.0,2,2,1,0,0,industrial_area,2026-08-19 00:00:00+00:00,2026-08-20 00:00:00+00:00,2,2,3.665,5.42,1,0.28571428571429,2.0,24.0,0.0,24.0,24.0,24.0,0.0,2,2,2,7,Industrial,Industrial,319.16,331.26,77.33
SOURCE_0043,20.7594,85.29646,154.45617370882,4.7772930776566,25.656953077072,4.0068571043212,30,Grassland,47.22431924,4.006857104,0,2,0,0,0,industrial_area,2026-08-19 00:00:00+00:00,2026-08-20 00:00:00+00:00,5,2,2.71,5.65,1,0.28571428571429,5.0,6.0,10.392304845413,0.0,0.0,24.0,0.087778549957133,2,2,2,7,Forest/Natural,Forest/Natural,316.77,331.95,95.33
SOURCE_0044,23.69857,86.07803,211.18872239307,1.6315269826261,3.2641191776142,0.5002534407107,60,Bare / sparse vegetation,54.1461555,0.500253441,1,3,0,0,0,industrial_area,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,3,1,0.96333333333333,1.08,0,0.14285714285714,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,7,Other,Other,312.41,318.24,65.96
SOURCE_0045,23.68269,86.08083,213.12062607807,1.2157963155368,3.1566012423541,0.0,10,Tree cover,54.37325591,0.0,1,3,1,1,0,industrial_area,2026-08-19 00:00:00+00:00,2026-08-22 00:00:00+00:00,12,4,2.2958333333333,4.09,3,0.57142857142857,4.0,6.5454545454545,10.688682513963,0.0,0.0,24.0,0.085552841289463,4,4,4,7,Industrial,Forest/Natural,315.74,327.27,81.33
SOURCE_0046,23.6814,86.09103,213.28668862412,0.2926954013682,2.2280182506787,0.0,60,Bare / sparse vegetation,53.95185057,0.0,2,3,1,0,0,industrial_area,2026-08-19 00:00:00+00:00,2026-08-21 00:00:00+00:00,8,3,2.095,4.94,2,0.42857142857143,4.0,6.8571428571429,10.842094834863,0.0,0.0,24.0,0.084444518807265,3,3,3,7,Industrial,Industrial,315.24,329.82,96.67
SOURCE_0047,23.67504,86.11079,214.09471901928,2.1074037834231,2.0806301344596,0.0,10,Tree cover,54.57068823,0.0,1,3,1,1,0,industrial_area,2026-08-19 00:00:00+00:00,2026-08-20 00:00:00+00:00,3,2,1.64,1.87,1,0.28571428571429,3.0,12.0,12.0,12.0,0.0,24.0,0.076923076923077,2,2,2,7,Industrial,Forest/Natural,314.1,320.61,90.0
SOURCE_0048,23.82895,84.57195,255.43185692188,39.842933467376,13.336150721578,15.562191214673,40,Cropland,81.04328308,13.33615072,0,0,0,0,1,mine,2026-08-19 00:00:00+00:00,2026-08-20 00:00:00+00:00,9,2,1.38,1.88,1,0.28571428571429,9.0,3.0,7.9372539331938,0.0,0.0,24.0,0.11189119247087,2,2,2,7,Agricultural,Agricultural,313.45,320.64,92.0
SOURCE_0049,23.60963,85.675,226.01376247405,16.707408960012,0.0,1.4225075331244,10,Tree cover,61.03591974,0.0,1,2,1,1,0,mine,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,2,1,1.04,1.24,0,0.14285714285714,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,7,Industrial,Forest/Natural,312.6,318.72,96.0
SOURCE_0050,22.87644,86.06029,248.03013317356,4.1467378954283,1.293203092714,0.23739154555504,50,Built-up,63.42686643,0.237391546,1,3,1,0,0,industrial_area,2026-08-19 00:00:00+00:00,2026-08-20 00:00:00+00:00,3,2,2.6566666666667,4.38,1,0.28571428571429,3.0,12.0,12.0,12.0,0.0,24.0,0.076923076923077,2,2,2,7,Industrial,Industrial,316.64,328.14,73.33
SOURCE_0051,22.79715,86.19865,230.09755151166,1.0752313672395,5.4499594657388,0.0,50,Built-up,59.15568559,0.0,1,2,1,0,0,industrial_area,2026-08-19 00:00:00+00:00,2026-08-20 00:00:00+00:00,9,2,3.3233333333333,5.16,1,0.28571428571429,9.0,3.0,7.9372539331938,0.0,0.0,24.0,0.11189119247087,2,2,2,7,Industrial,Industrial,318.31,330.48,96.0
SOURCE_0052,22.79215,86.20784,228.92018697248,0.12573910321013,5.3357785182386,0.0,50,Built-up,58.59542615,0.0,2,2,1,0,0,industrial_area,2026-08-19 00:00:00+00:00,2026-08-20 00:00:00+00:00,11,2,2.63,4.63,1,0.28571428571429,11.0,2.4,7.2,0.0,0.0,24.0,0.1219512195122,2,2,2,7,Industrial,Industrial,316.58,328.89,76.0
SOURCE_0053,22.61008,85.91367,252.70245172956,11.639789767859,5.5712971711377,1.7420596255475,40,Cropland,67.91389957,1.742059626,0,1,0,0,1,industrial_area,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,1,1,1.7,1.7,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,7,Agricultural,Agricultural,314.25,320.1,95.33
SOURCE_0054,22.57485,85.89123,254.02782621368,15.496365574345,9.8675387602994,0.0,60,Bare / sparse vegetation,69.84793264,0.0,1,1,1,0,0,industrial_area,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,1,1,1.39,1.39,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,7,Industrial,Other,313.48,319.17,60.67
SOURCE_0055,22.57419,85.89626,253.46561491114,15.037859217219,9.8730994470945,0.088670241901753,60,Bare / sparse vegetation,69.61631095,0.088670242,1,1,1,0,0,industrial_area,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,3,1,2.24,3.17,0,0.14285714285714,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,7,Industrial,Other,315.6,324.51,77.24
SOURCE_0056,22.38231,87.28905,98.826923012659,7.3860988488739,58.952708713933,0.0,60,Bare / sparse vegetation,41.29143264,0.0,1,1,1,0,0,industrial_area,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,1,1,2.32,2.32,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,7,Industrial,Other,315.8,321.96,60.0
SOURCE_0057,22.38057,87.27562,100.11553898797,8.8284478694146,57.672942182388,0.55482944408142,40,Cropland,41.79293962,0.554829444,1,1,0,0,1,industrial_area,2026-08-19 00:00:00+00:00,2026-08-25 00:00:00+00:00,30,7,3.842,9.32,6,1.0,5.0,4.9655172413793,9.7219366547344,0.0,0.0,24.0,0.093266732699679,7,7,7,7,Agricultural,Agricultural,319.6,342.96,88.67
SOURCE_0058,22.36053,87.2899,97.717260989283,7.1980725330077,60.138266568944,0.0,10,Tree cover,41.26340002,0.0,1,1,1,1,0,industrial_area,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,3,1,1.5333333333333,1.62,0,0.14285714285714,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,7,Industrial,Forest/Natural,313.83,319.86,97.33
SOURCE_0059,22.36542,87.01572,126.66726904854,17.793828525014,34.868200592661,3.0879198264272,10,Tree cover,45.6043045,3.087919826,0,1,0,1,0,industrial_area,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,4,1,1.615,1.92,0,0.14285714285714,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,7,Forest/Natural,Forest/Natural,314.04,320.76,97.33
SOURCE_0060,22.06446,88.12053,1.5311913431585,0.9017023878995,50.839589177719,0.0,10,Tree cover,13.31812073,0.0,2,3,1,1,0,industrial_area,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,1,1,2.37,2.37,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,7,Industrial,Forest/Natural,315.92,322.11,78.67
SOURCE_0061,22.05706,88.12335,1.2389260013907,0.18183802523506,49.987163425008,0.0,60,Bare / sparse vegetation,12.85198186,0.0,2,3,1,0,0,industrial_area,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,1,1,2.46,2.46,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,7,Industrial,Industrial,316.15,322.38,87.33
SOURCE_0062,22.05307,88.12675,1.5635986176516,0.44503345269617,49.552326063099,0.0,60,Bare / sparse vegetation,12.89023953,0.0,2,3,1,0,0,industrial_area,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,2,1,2.915,3.45,0,0.14285714285714,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,7,Industrial,Industrial,317.29,325.35,77.92
SOURCE_0063,15.29888,80.01089,245.10059849801,40.593734774849,37.03202842463,11.689122650145,40,Cropland,83.60387109,11.68912265,0,0,0,0,1,industrial_area,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,1,1,0.86,0.86,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,7,Agricultural,Agricultural,312.15,317.58,87.33
SOURCE_0064,9.76584,77.51328,125.78055441403,23.550662745845,25.559267639083,21.263104903527,10,Tree cover,49.03839743,21.2631049,0,0,0,1,0,industrial_area,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,1,1,1.12,1.12,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,7,Forest/Natural,Forest/Natural,312.8,318.36,94.67
SOURCE_0065,9.93416,78.31787,194.02030805629,12.338778653381,7.797017048717,5.0387807843812,30,Grassland,54.79872114,5.038780784,0,0,0,0,0,industrial_area,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,2,1,1.075,1.08,0,0.14285714285714,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,7,Forest/Natural,Forest/Natural,312.69,318.24,93.33
SOURCE_0066,29.47378,76.85699,0.14513865838948,2.0353944014112,83.248817825547,0.14513865838948,60,Bare / sparse vegetation,21.39362239,0.145138658,2,3,1,0,0,refinery,2026-08-19 00:00:00+00:00,2026-08-20 00:00:00+00:00,3,2,1.6966666666667,3.76,1,0.28571428571429,3.0,12.0,12.0,12.0,0.0,24.0,0.076923076923077,2,2,2,7,Industrial,Other,314.24,326.28,76.7
SOURCE_0067,18.69369,73.04151,39.357115407752,0.76728403328339,6.6997800074046,0.0,50,Built-up,11.70604486,0.0,2,2,1,0,0,industrial_area,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,1,1,1.18,1.18,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,7,Industrial,Industrial,312.95,318.54,87.33
